names	category	type	factor_levels	key_val	units	description	mmrf_table	mmrf_column	dfci_column	uams_column	lohr_column
DIAG_Calcium	blood	Numeric			mmol/L	Calcium	PER_PATIENT_VISIT	D_LAB_chem_calcium	NA	Corrected.Calcium	Serum.calcium..mg.dL.
DIAG_Creatinine	blood	Numeric			umol/L	Serum Creatinine	PER_PATIENT_VISIT	D_LAB_chem_creatinine	NA	Serum.creatinine	Serum.creatinine..mg.dL.
DIAG_LDH	blood	Numeric			ukat/L	LDH	PER_PATIENT_VISIT	D_LAB_chem_ldh	NA	NA	Serum.LDH..U.L.
DIAG_Beta2Microglobulin	blood	Numeric			mcg/mL	Beta 2 Microglobulin	PER_PATIENT_VISIT	D_LAB_serum_beta2_microglobulin	NA	B2.microglobulin	Beta2.microglobulin..ug.dL.
CHEM_BUN	blood	Numeric			mmol/L	Blood Urea Nitrogen	PER_PATIENT_VISIT	D_LAB_chem_bun	NA	NA	NA
CHEM_Glucose	blood	Numeric			mmol/L	Glucose	PER_PATIENT_VISIT	D_LAB_chem_glucose	NA	NA	NA
CHEM_Total_Protein	blood	Numeric			g/dL	Total Protein	PER_PATIENT_VISIT	D_LAB_chem_totprot	NA	NA	NA
CHEM_CRP	blood	Numeric			mg/dL	C-Reactive Protein	PER_PATIENT_VISIT	D_LAB_serum_c_reactive_protein	NA	NA	CRP..mg.dL.
IG_IgL_Kappa	blood	Numeric			mg/dL	Serum Kappa	PER_PATIENT_VISIT	D_LAB_serum_kappa	NA	NA	Serum.free.light.chain.kappa..mg.dL.
IG_M_Protein	blood	Numeric			g/dL	Serum M Protein	PER_PATIENT_VISIT	D_LAB_serum_m_protein	NA	NA	M.spike..g.dL.
IG_IgA	blood	Numeric			g/L	Serum IgA	PER_PATIENT_VISIT	D_LAB_serum_iga	NA	NA	NA
IG_IgG	blood	Numeric			g/L	Serum IgG	PER_PATIENT_VISIT	D_LAB_serum_igg	NA	NA	NA
IG_IgL_Lambda	blood	Numeric			mg/dL	Serum Lambda	PER_PATIENT_VISIT	D_LAB_serum_lambda	NA	NA	Serum.free.light.chain.lambda..mg.dL.
IG_IgM	blood	Numeric			g/L	Serum IgM	PER_PATIENT_VISIT	D_LAB_serum_igm	NA	NA	NA
IG_IgE	blood	Numeric			mg/L	Serum IgE	PER_PATIENT_VISIT	D_LAB_serum_ige	NA	NA	NA
FLO_Markers	flow	Character					NA	NA	NA	NA	NA
FLO_Percent_Aneuploid	flow	Character				Flow cytometer %aneuploidy population	PER_PATIENT_VISIT	D_IM_FLOWCYT_PCT_ANEUPLOID_POPUL	NA	NA	NA
FLO_IgH	flow	Character					NA	NA	NA	NA	NA
FLO_IgL	flow	Character				Light Chain by Flow	PER_PATIENT_VISIT	D_IM_LIGHT_CHAIN_BY_FLOW	NA	NA	NA
FLO_DNA_Index	flow	Character				DNA Index	PER_PATIENT_VISIT	D_IM_DNA_INDEX	NA	NA	NA
MISC_BRAF_V600E	misc	Numeric		0=no; 1=yes		BRAF Status	PER_PATIENT_VISIT	D_IM_BRAF_STATUS	NA	NA	NA
MISC_ECOG_Status	misc	Factor	"""0 = Fully Active""; ""1 = Restricted in physically strenuous activity""; ""2 = Ambulatory and capable of all selfcare""; ""3 = Capable of only limited selfcare""; ""4 = Completely disabled"""			Eastern Cooperative Oncology Group (ECOG) standard criteria for measuring how the disease impacts a patient•À_s daily living abilities.	PER_PATIENT_VISIT	ECOG_PERFORMANCEST	NA	NA	NA
Has.Cytogenetic.Data	inventory	Numeric		0=no; 1=yes		Cytogenetic analysis results are available.	MMRF_cytodata-orig-aligned	D_CM_WASCONVENTION	"""yes"" if karyotype is not NA"	performed on all patients	"""yes"" if hyperdiploid field is not NA"
Visit	cytogenetic	Character				"Cytogenetic analysis was not uniformly applied at a specific visit, this column specific the visit name where cytogenetic analysis was first performed."	subset PER_PATIENT_VISIT	"VJ_INTERVAL == ""Baseline"""	NA	NA	NA
Karyotype	cytogenetic	Character		0=no; 1=yes		Text description of karyotype	MMRF_cytodata-orig-aligned	D_CM_KARYOTYPE	Karyotype	NA	NA
t(4;14)	cytogenetic	Numeric		0=no; 1=yes		Translocation was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR3	"""4;14"" parsed from Karyotype"	Translocation_consensus == 4	"FISH_Translocation == ""4;14"""
t(6;14)	cytogenetic	Numeric		0=no; 1=yes		Translocation was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR4	NA	Translocation_consensus == 6	NA
t(8;14)	cytogenetic	Numeric		0=no; 1=yes		Translocation was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR5	NA	MYC.translocation == t(8;14)	NA
t(11;14)	cytogenetic	Numeric		0=no; 1=yes		Translocation was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR6	NA	Translocation_consensus == 11	"FISH_Translocation == ""11;14"""
t(12;14)	cytogenetic	Numeric		0=no; 1=yes		Translocation was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR7	NA	NA	NA
t(14;16)	cytogenetic	Numeric		0=no; 1=yes		Translocation was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR8	"""14;16"" parsed from Karyotype"	Translocation_consensus == 16	"FISH_Translocation == ""14;16"""
t(14;20)	cytogenetic	Numeric		0=no; 1=yes		Translocation was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR9	NA	Translocation_consensus == 20	NA
del(13)	cytogenetic	Numeric		0=no; 1=yes		Chromosomal deletion was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR	NA	NA	NA
del(17)	cytogenetic	Numeric		0=no; 1=yes		Chromosomal deletion was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR2	"""17p"" parsed from Karyotype"	NA	"FISH_Translocation == ""17"""
del(1p)	cytogenetic	Numeric		0=no; 1=yes		Chromosomal deletion was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR12	NA	NA	NA
del(1q)	cytogenetic	Numeric		0=no; 1=yes		Chromosomal deletion was observed	MMRF_cytodata-orig-aligned	D_TRI_CF_ABNORMALITYPR13	NA	NA	NA
Hyperdiploid	cytogenetic	Numeric		0=no; 1=yes		Hyperdiploidy was observed	MMRF_cytodata-orig-aligned	"D_CM_ANEUPLOIDYCAT, D_TRI_trisomies"	"""Hyper"" parsed from Karyotype"	NA	Hyperdiploid
Has.Patient	inventory	Numeric		0=no; 1=yes		Inventory field to enable counting total patients by group					
Has.Clinical.Demographic	inventory	Numeric		0=no; 1=yes		"Inventory field for whether a patient has demographic information. Scored using ""D_Gender"" column."					
Has.Clinical.Chemistry	inventory	Numeric		0=no; 1=yes		"Inventory field for whether a patient has blood chemistry information. Patient is ""yes"" if they have any non-NA fields with prefix ""CBC"" or ""DIAG"""					
Has.Cytogenetic	inventory	Numeric		0=no; 1=yes		"Inventory field for whether a patient has cytogenetic nformation. Redundant with ""Has.Cytogenetic.Data"""					
Has.WES	inventory	Numeric		0=no; 1=yes		Inventory field for whether a patient has Whole Exome Sequencing data currently available on the S3 bucket.					
Has.WGS	inventory	Numeric		0=no; 1=yes		Inventory field for whether a patient has Whole Genome Sequencing data currently available on the S3 bucket.					
Has.RNA	inventory	Numeric		0=no; 1=yes		Inventory field for whether a patient has RNA Sequencing data currently available on the S3 bucket.					
Has.WES.WGS	inventory	Numeric		0=no; 1=yes		Aggregated inventory column of whether a patient has both WES and WGS sequencing available.					
Has.WES.RNA	inventory	Numeric		0=no; 1=yes		Aggregated inventory column of whether a patient has both WES and RNA-sequencing available.					
Has.WGS.RNA	inventory	Numeric		0=no; 1=yes		Aggregated inventory column of whether a patient has both WGS and RNA-sequencing available.					
Has.WES.WGS.RNA	inventory	Numeric		0=no; 1=yes		"Aggregated inventory column of whether a patient has WES, WGS, and RNA-sequencing available."					
